method,feature_extractor,train_level,eval_level,score_mean,score_median,score_std,games_played,win_rate,avg_steps,steps_std
gradient_boosting,extract_binary_features,0,0,27.333333333333332,25.0,15.638884635538373,30,0.1,705.6333333333333,706.4679255883153
gradient_boosting,extract_binary_features,1,1,29.833333333333332,32.0,15.527691245072427,30,0.0,738.7,818.696615527304
gradient_boosting,extract_binary_features,2,2,32.5,39.0,20.190045345032853,30,0.1,1168.5333333333333,959.9190602852153
gradient_boosting,extract_binary_features,3,3,32.86666666666667,36.5,11.678844219307429,30,0.1,1330.2666666666667,813.2007824908177
gradient_boosting,extract_binary_features,4,4,25.233333333333334,20.0,15.995006404658218,30,0.06666666666666667,619.2,714.900784049425
gradient_boosting,extract_binary_features,all,0,28.166666666666668,25.0,16.107576570934118,30,0.1,683.4,698.3084290404673
gradient_boosting,extract_binary_features,all,1,36.2,39.0,13.722370359229563,30,0.03333333333333333,860.7333333333333,747.3543651618265
gradient_boosting,extract_binary_features,all,2,10.933333333333334,2.0,15.355406401236225,30,0.0,450.3,512.4145109522981
gradient_boosting,extract_binary_features,all,3,18.6,21.0,14.177690099297703,30,0.0,747.7666666666667,794.9944993664978
gradient_boosting,extract_binary_features,all,4,31.733333333333334,31.5,11.010757540205642,30,0.06666666666666667,833.0666666666667,725.8551642994832
logistic_regression,extract_binary_features,0,0,57.166666666666664,59.5,14.985241781978953,30,0.06666666666666667,811.4333333333333,743.97115643632
logistic_regression,extract_binary_features,1,1,38.333333333333336,36.0,19.77866027563168,30,0.16666666666666666,649.5333333333333,578.4008712096585
logistic_regression,extract_binary_features,2,2,35.6,41.5,19.605769734865085,30,0.26666666666666666,998.0,843.6460280767375
logistic_regression,extract_binary_features,3,3,31.966666666666665,35.0,12.661326763112108,30,0.1,1016.9,734.8938159282981
logistic_regression,extract_binary_features,4,4,35.333333333333336,33.0,13.527324411986521,30,0.03333333333333333,545.2,519.7674148282493
logistic_regression,extract_binary_features,all,0,44.93333333333333,49.0,21.211469463043084,30,0.1,830.6666666666666,847.4405821235403
logistic_regression,extract_binary_features,all,1,25.333333333333332,27.0,14.718820542452427,30,0.03333333333333333,460.06666666666666,488.0086159028366
logistic_regression,extract_binary_features,all,2,30.033333333333335,29.0,15.25300045854932,30,0.03333333333333333,743.4333333333333,813.7303918219552
logistic_regression,extract_binary_features,all,3,21.4,20.0,13.489715111636102,30,0.06666666666666667,646.1333333333333,576.872527204822
logistic_regression,extract_binary_features,all,4,28.066666666666666,26.0,12.910656740509538,30,0.1,626.0,595.6019846658764
random_forest,extract_binary_features,0,0,23.666666666666668,21.0,12.149452473354463,30,0.06666666666666667,698.4,736.202492759178
random_forest,extract_binary_features,1,1,29.1,34.5,16.930588518601677,30,0.0,884.5,775.7976429189641
random_forest,extract_binary_features,2,2,29.7,26.5,12.45169978702534,30,0.03333333333333333,641.3,580.74970274756
random_forest,extract_binary_features,3,3,21.433333333333334,20.0,12.683639566137087,30,0.0,604.9333333333333,684.6687058582488
random_forest,extract_binary_features,4,4,22.066666666666666,19.0,11.116726550356551,30,0.03333333333333333,605.3333333333334,606.237197992572
random_forest,extract_binary_features,all,0,26.066666666666666,22.0,15.083522257024747,30,0.2,514.6333333333333,457.173888545503
random_forest,extract_binary_features,all,1,23.233333333333334,16.5,19.252735288575334,30,0.16666666666666666,597.3,618.8925119754725
random_forest,extract_binary_features,all,2,31.266666666666666,31.0,14.493597476682314,30,0.06666666666666667,617.9,548.8324504078541
random_forest,extract_binary_features,all,3,20.266666666666666,22.0,11.94508507593246,30,0.06666666666666667,534.4333333333333,452.7801234925017
random_forest,extract_binary_features,all,4,29.766666666666666,28.0,12.249372491551622,30,0.06666666666666667,682.5333333333333,541.60099407369
